Number,Strokes,Radical,Original,Meaning,Reading-J,Reading-R,Position-J,Position-R,Importance,Frequency,Examples
1,1,一,y,"one, horizontal stroke",いち,ichi,,,,42,七三丈不丘世
2,1,丨,y,"line, stick",たてぼう,tatebou,,,,21,中
3,1,丶,y,dot,てん,ten,,,,10,丸主
4,1,丿,y,"bend, stroke",の,no,,,,33,久之乎
5,1,乙,y,the second,おつ,otsu,,,,42,九也
6,1,亅,y,"hook, hook stick",はねぼう,hanebou,,,,19,了事
215,1,,,"bend, stroke",のかんむり,nokanmuri,かんむり,kanmuri,,,
216,1,⺃,,the second,おつ,otsu,,,,,
7,2,二,y,two,に,ni,,,,29,五井些亞
8,2,亠,y,"lid, top",なべぶた,nabebuta,かんむり,kanmuri,Important,38,亡交京
9,2,人,y,person,ひと,hito,,,,794,仁休位今
10,2,儿,y,human legs,ひとあし,hitoashi,あし,ashi,Important,52,兄元
11,2,⼊,y,to enter,いる,iru,,,,28,入全兩
12,2,八,y,eight,はち,hachi,,,,44,公六共兵
13,2,冂,y,to enclose,けいがまえ,keigamae,"かまえ, けいがまえ","kamae, keigamae",,50,内再
14,2,冖,y,"cover, crown",わかんむり,wakanmuri,かんむり,kanmuri,Important,30,冗冠
15,2,冫,y,ice,にすい,nisui,へん,hen,,115,冬冶冷凍
16,2,几,y,table,きにょう,kinyou,つくり,tsukuri,,38,凡
17,2,凵,y,"container, open box",かんにょう,kannyou,にょう,nyou,,23,凶出函
18,2,刀,y,"knife, sword",かたな,katana,,,,377,刀分切初利刻則前
19,2,力,y,power,ちから,chikara,,,,163,力加助勉
20,2,勹,y,to wrap,つつみがまえ,tsutsumigamae,"かまえ, つつみがまえ","kamae, tsutsumigamae",,64,勾包
21,2,匕,y,spoon,さじ,saji,つくり,tsukuri,,19,化北
22,2,匚,y,box,はこがまえ,hakogamae,"かまえ, はこがまえ","kamae, hakogamae",,64,匣
24,2,十,y,ten,じゅう,juu,,,,55,十千午半博
25,2,卜,y,"oracle, divination",ぼく,boku,,,,45,占卦
26,2,卩,y,"stamp, seal",ふしづくり,fushizukuri,つくり,tsukuri,,40,印危卵
27,2,厂,y,cliff,がんだれ,gandare,たれ,tare,Important,129,厚原
28,2,厶,y,"private, Katakana Mu",む,mu,,,,40,去參
29,2,又,y,"again, right hand",また,mata,,,,91,友反取受
217,2,⺅,,person,にんべん,ninben,へん,hen,Important,,
218,2,𠆢,,person,ひとやね,hitoyane,かんむり,kanmuri,Important,,
219,2,,,eight,はちがしら,hachigashira,,,,,
220,2,⺇,,wind,かぜかんむり,kazekanmuri,かんむり,kanmuri,,,
221,2,⺉,,"knife, sword",りっとう,rittou,つくり,tsukuri,Important,,
23,2,匸,,"to conceal, hide",かくしがまえ,kakushigamae,"かまえ, はこがまえ","kamae, hakogamae",,17,亡 妄 忙 忘 盲 荒 望 慌 網
30,3,口,y,mouth,くち,kuchi,,,,"1,146",口古可名君否呉告周味命和哲唐善器
31,3,囗,y,"border, territorial boundaries",くにがまえ,kunigamae,"かまえ, くにがまえ","kamae, kunigamae",Important,118,四回図国
32,3,土,y,earth,つち,tsuchi,,,,580,土在地型城場壁壓
33,3,士,y,"man, scholar, samurai",さむらい,samurai,,,,24,士壹
34,3,夂,y,to follow,のまた,nomata,,,,34,夏 夆
35,3,夊,y,to go slowly,なつあし,natsuashi,あし,ashi,,,
36,3,夕,y,evening,ゆうべ,yuube,,,,34,夕外多夜
37,3,大,y,"large, big",だい,dai,,,,132,大天奈奧
38,3,女,y,woman,おんな,onna,,,,681,女好妄妻姉始姓姫
39,3,子,y,"child, son",こ,ko,,,,83,子孔字學
40,3,宀,y,"roof, house",うかんむり,ukanmuri,かんむり,kanmuri,Important,246,守家寒實
41,3,寸,y,"inch, (2.25 cm)",すん,sun,,,,40,寸寺尊將
42,3,小,y,small,しょう,shou,,,,41,小少
43,3,尢,y,"disabled, lame leg",だいのまげあし,dainomageashi,つくり,tsukuri,,66,就
44,3,尸,y,corpse,しかばね,shikabane,たれ,tare,,148,尺局
45,3,屮,y,sprout,くさのめ,kusanome,,,,38,屯
46,3,山,y,mountain,やま,yama,,,,636,山岡岩島
47,3,巛,y,river,まがりがわ,magarigawa,,,,26,川州巡
48,3,工,y,"work, carpenter, skill",たくみ,takumi,,,,17,工左巫差
49,3,已,y,oneself,おのれ,onore,,,,20,己巳
50,3,巾,y,cloth,はば,haba,,,,295,市布帝常
51,3,干,y,"to dry, shield",かん,kan,,,,9,平年
52,3,幺,y,"young, slight",いとがしら,itogashira,,,,50,幻幼
53,3,广,y,slanting roof,まだれ,madare,たれ,tare,Important,15,序店府度座庭廣廳
54,3,廴,y,"to move, stretch",えんにょう,rennyou,にょう,nyou,,9,延
55,3,廾,y,folded hands,にじゅうあし,nijuuashi,あし,ashi,,50,弁
56,3,弋,y,javelin,いぐるみ,igurumi,,,,15,式弑
57,3,弓,y,bow （in archery）,ゆみ,yumi,,,,165,弓引弟弱彌
58,3,彐,y,pig’s head,けいがしら,keigashira,,,,25,彖
59,3,彡,y,"hair-style, light rays",さんづくり,sanzukuri,つくり,tsukuri,,62,形彦
60,3,彳,y,"step, stride, street, to go",ぎょうにんべん,gyouninben,へん,hen,Important,215,役彼後得徳徼
140,3,艹,y,grass,くさかんむり,kusakanmuri,かんむり,kanmuri,Important,"1,902",共 花(37) 英 苦 草 茶 落 幕 靴 鞄 薬
162,3,⻌,y,"road, walk, to advance",しんにょう,shinnyou,にょう,nyou,Important,381,巡 迎 通 追 逃 迎 進
223,3,,,mouth,くちへん,kuchihen,へん,hen,Important,,
224,3,,,earth,つちへん,tsuchihen,へん,hen,Important,,
225,3,,,"man, scholar, samurai",さむらいかんむり,samuraikanmuri,かんむり,kanmuri,,,
226,3,,,woman,おんなへん,onnahen,へん,hen,Important,,
227,3,,,"child, son",こへん,kohen,へん,hen,Important,,
228,3,,,"inch, (2.25 cm)",すんづくり,sunzukuri,つくり,tsukuri,,,
229,3,⺌,,small,しょうかんむり,shoukanmuri,かんむり,kanmuri,,,
230,3,,,mountain,やまへん,yamahen,へん,hen,,,
231,3,,,mountain,やまかんむり,yamakanmuri,かんむり,kanmuri,,,
232,3,川,,river,さんぼんがわ,sanbongawa,,,,,
233,3,,,"work, carpenter, skill",たくみへん,takumihen,へん,hen,,,
234,3,巳,,oneself,おのれ,onore,,,,,
235,3,己,,oneself,おのれ,onore,,,,,
236,3,,,cloth,はばへん,habahen,へん,hen,,,
237,3,,,bow （in archery）,ゆみへん,yumihen,へん,hen,,,
238,3,⺕,,pig’s head,けいがしら,keigashira,,,,,
239,3,⺔,,pig’s head,けいがしら,keigashira,,,,,
240,3,⻏,,"town, community",おおざと,oozato,つくり,tsukuri,Important,,
241,3,⻖,,"hill, mound, dam",こざとへん,kozatohen,へん,hen,Important,,
242,3,⺍,,Katakana Tsu,つ,tsu,かんむり,kanmuri,,,
243,3,⺖,,"heart, mind, spirit",りっしんべん,risshinben,へん,hen,Important,high,
244,3,⺘,,hand,てへん,tehen,へん,hen,Important,,
245,3,⺡,,water,さんずい,sanzui,へん,hen,Important,high,
246,3,⺨,,beast,けものへん,kemonohen,へん,hen,Important,,
61,4,心,y,"heart, mind, spirit",こころ,kokoro,,,,"1,115",必忙忌性悪情想
62,4,戈,y,"spear, weapon",ほこ,hoko,,,,116,成式弐戦
63,4,戸,y,door,と,to,,,,44,戸戻所
64,4,手,y,hand,て,te,,,,"1,203",手 才 挙 拜 拳 掌 掣 擧 (持 掛 打 批 技 抱 押)
65,4,支,y,branch,しにょう,shinyou,,,,26,攱攲
66,4,攵,y,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri,Important,296,收敍數斅
67,4,文,y,"literature, letters",ぶん,bun,,,,26,文 斊 斈 斌 斐 斑 斕
68,4,斗,y,"big dipper, ladle, 18 liters",ますづくり,masuzukuri,つくり,tsukuri,,32,料 斡
69,4,斤,y,axe,おのづくり,onozukuri,つくり,tsukuri,,55,斦 斧 新 斥 斬 斷
70,4,方,y,"direction, flag",ほう,hou,,,,92,方 放 旅 族
71,4,无,y,not,むにょう,munyou,,,,12,无 旡 既 旣
72,4,日,y,"sun, day, time",ひ,hi,,,,453,日白百明的映時晩
73,4,曰,y,to say,ひらび,hirabi,,,,37,書 最 晉 曷 曹 曾
74,4,月,y,"moon, month, period",つき,tsuki,,,,69,有 服 青 朝
75,4,木,y,"tree, wood",き,ki,,,,"1,369",木 杢 板 相 根 森 楽 機 末 本 杉 林
76,4,欠,y,"to lack, yawn",あくび,akubi,,,,235,欣 欽 欧 欲 歌
77,4,止,y,to stop,とめる,tomeru,,,,99,正 歩 此 步 武 歪 歲
78,4,歹,y,"death & dying, to decompose",がつ,gatsu,,,,231,死 列 殕
79,4,殳,y,"lance shaft, action",るまた,rumata,つくり,tsukuri,,93,役 投 殴 殷
80,4,毋,y,"not, mother",なかれ,nakare,,,,16,毋 母 毎 姆 梅
81,4,比,y,to compare,くらべる,kuraberu,,,,21,皆 批 毕 毖 毘 毚
82,4,毛,y,hair,け,ke,,,,211,毟 毡 毦 毫 毳 耗
83,4,氏,y,"family, clan",うじ,uji,,,,10,氏 民 紙 婚 氓
84,4,气,y,"steam, air",きがまえ,kigamae,"かまえ, きがまえ","kamae, kigamae",,17,気 汽 氧
